Lv,HPBonus,MPBonus
1,10 - 11,3 - 5
2,11 - 13,3 - 5
3,12 - 14,3 - 5
4,13 - 15,3 - 5
5,14 - 16,3 - 5
6,15 - 17,3 - 5
7,16 - 19,3 - 5
8,17 - 20,3 - 5
9,18 - 21,3 - 5
10,19 - 22,3 - 5
11,20 - 23,4 - 7
12,21 - 25,4 - 7
13,22 - 26,4 - 7
14,23 - 27,4 - 7
15,24 - 28,4 - 7
16,25 - 29,4 - 7
17,26 - 31,4 - 7
18,27 - 32,4 - 7
19,28 - 33,4 - 7
20,29 - 34,4 - 7
21,30 - 35,4 - 7
22,31 - 37,4 - 7
23,32 - 38,4 - 7
24,33 - 39,4 - 7
25,34 - 40,4 - 7
26,33 - 39,4 - 7
27,32 - 38,4 - 7
28,31 - 37,4 - 7
29,30 - 35,4 - 7
30,29 - 34,5 - 9
31,28 - 33,5 - 9
32,27 - 32,5 - 9
33,26 - 31,5 - 9
34,25 - 29,5 - 9
35,27 - 32,5 - 9
36,29 - 34,5 - 9
37,31 - 37,5 - 9
38,33 - 39,5 - 9
39,35 - 41,5 - 9
40,37 - 44,5 - 9
41,39 - 46,5 - 9
42,41 - 49,5 - 9
43,43 - 51,5 - 9
44,45 - 53,4 - 7
45,47 - 56,4 - 7
46,49 - 58,4 - 7
47,51 - 61,4 - 7
48,53 - 63,4 - 7
49,55 - 65,4 - 7
50,53 - 63,4 - 7
51,51 - 61,4 - 7
52,49 - 58,4 - 7
53,47 - 56,4 - 7
54,45 - 53,4 - 7
55,43 - 51,4 - 7
56,41 - 49,4 - 7
57,39 - 46,4 - 7
58,37 - 44,4 - 7
59,35 - 41,4 - 7
60,33 - 39,4 - 7
61,31 - 37,3 - 5
62,29 - 34,3 - 5
63,27 - 32,3 - 5
64,25 - 29,3 - 5
65,23 - 27,3 - 5
66,21 - 25,3 - 5
67,19 - 22,3 - 5
68,20 - 23,3 - 5
69,21 - 25,3 - 5
70,22 - 26,3 - 5
71,23 - 27,3 - 5
72,24 - 28,3 - 5
73,25 - 29,3 - 5
74,26 - 31,3 - 5
75,27 - 32,3 - 5
76,28 - 33,3 - 5
77,29 - 34,3 - 5
78,30 - 35,3 - 5
79,31 - 37,3 - 5
80,32 - 38,3 - 5
81,33 - 39,2 - 3
82,34 - 40,2 - 3
83,35 - 41,2 - 3
84,36 - 43,2 - 3
85,37 - 44,2 - 3
86,38 - 45,2 - 3
87,39 - 46,2 - 3
88,40 - 47,2 - 3
89,41 - 49,2 - 3
90,42 - 50,2 - 3
91,43 - 51,1 - 1
92,44 - 52,1 - 1
93,45 - 53,1 - 1
94,46 - 55,1 - 1
95,47 - 56,1 - 1
96,48 - 57,1 - 1
97,49 - 58,1 - 1
98,50 - 59,1 - 1
99,51 - 61,1 - 1
