Level,To Next,Total EXP
1,40,0
2,60,40
3,100,100
4,160,200
5,220,360
6,300,580
7,380,880
8,480,1260
9,580,1740
10,700,2320
11,820,3020
12,950,3840
13,1090,4790
14,1240,5880
15,1390,7120
16,1560,8510
17,1730,10070
18,1910,11800
19,2090,13710
20,2170,15800
21,2260,17970
22,2350,20230
23,2430,22580
24,2520,25010
25,2620,27530
26,2710,30150
27,2800,32860
28,2900,35660
29,2990,38560
30,3100,41550
31,3200,44650
32,3300,47850
33,3400,51150
34,3510,54550
35,3620,58060
36,3730,61680
37,3830,65410
38,3950,69240
39,4060,73190
40,4170,77250
41,4580,81420
42,4840,86000
43,5110,90840
44,5380,95940
45,5660,101320
46,5950,106980
47,6230,112930
48,6530,119160
49,6830,125690
50,7140,132520
51,7450,139660
52,7760,147110
53,8090,154870
54,8410,162960
55,8750,171370
56,9080,180120
57,9430,189200
58,9770,198630
59,10130,208400
60,10480,218530
61,10970,229010
62,11560,239980
63,12160,251540
64,12760,263700
65,13370,276460
66,13990,289830
67,14620,303820
68,15260,318440
69,15910,333700
70,16570,349610
71,18490,366180
72,20230,384670
73,22000,404900
74,23790,426900
75,25610,450690
76,27450,476300
77,29320,503750
78,31220,533070
79,33140,564290
80,-,597430
