Level,To Next,Total EXP
1,60,0
2,100,60
3,170,160
4,260,330
5,370,590
6,500,960
7,640,1460
8,800,2100
9,970,2900
10,1160,3870
11,1360,5030
12,1580,6390
13,1820,7970
14,2060,9790
15,2320,11850
16,2600,14170
17,2880,16770
18,3180,19650
19,3490,22830
20,3620,26320
21,3760,29940
22,3910,33700
23,4050,37610
24,4200,41660
25,4360,45860
26,4510,50220
27,4670,54730
28,4830,59400
29,4990,64230
30,5160,69220
31,5330,74380
32,5500,79710
33,5670,85210
34,5850,90880
35,6030,96730
36,6210,102760
37,6390,108970
38,6580,115360
39,6760,121940
40,6950,128700
41,7630,135650
42,8060,143280
43,8510,151340
44,8970,159850
45,9440,168820
46,9910,178260
47,10390,188170
48,10890,198560
49,11390,209450
50,11900,220840
51,12420,232740
52,12940,245160
53,13480,258100
54,14020,271580
55,14580,285600
56,15140,300180
57,15710,315320
58,16290,331030
59,16880,347320
60,17470,364200
61,18290,381670
62,19270,399960
63,20260,419230
64,21260,439490
65,22290,460750
66,23320,483040
67,24370,506360
68,25440,530730
69,26520,556170
70,27620,582690
71,30810,610310
72,33710,641120
73,36660,674830
74,39650,711490
75,42680,751140
76,45750,793820
77,48870,839570
78,52030,888440
79,55230,940470
80,-,995700
